Date,AvgTemp,MinTemp,MaxTemp,Precipitation
1991-06-02,23.7,17.0,29.932827341322678,0.0
1991-07-02,22.7,15.7,29.3,0.0
1991-08-02,22.8,15.8,30.8,0.0
1991-09-02,22.7,15.4,30.2,0.0
1991-10-02,23.9,16.1,31.4,0.0
1991-11-02,24.4,16.6,33.0,0.0
1991-12-02,23.9,16.6,32.5,0.0
1991-02-13,25.2,17.5,32.6,4.414118779213638
1991-02-14,24.3,17.2,32.1,0.0
1991-02-15,24.2,15.5,31.5,0.0
1991-02-16,25.1,16.3,32.0,0.0
1991-02-17,24.4,17.4,31.3,0.0
1991-02-18,25.6,17.3,31.4,0.0
1991-02-19,24.5,17.1,31.4,0.0
1991-02-20,24.3,17.8,30.3,0.0
1991-02-21,23.1,17.6,29.3,0.0
1991-02-22,23.9,16.0,29.4,0.0
1991-02-23,23.6,16.9,30.9,0.0
1991-02-24,24.3,17.7,30.2,0.0
1991-02-25,22.2,18.3,30.9,0.0
1991-02-26,24.2,18.2,30.3,0.0
1991-02-27,24.8,19.5,29.932827341322678,0.0
1991-02-28,24.8,20.6,30.9,0.0
1991-01-03,25.6,19.385130890052356,31.2,0.0
1991-02-03,26.2,19.3,31.4,4.414118779213638
1991-03-03,25.6,19.5,31.3,0.0
1991-04-03,26.3,19.3,32.5,0.0
1991-05-03,26.9,20.6,32.4,0.0
1991-06-03,27.8,22.8,32.4,4.414118779213638
1991-07-03,27.1,21.6,34.5,0.0
1991-08-03,26.9,21.8,33.5,4.414118779213638
1991-09-03,26.2,19.385130890052356,29.932827341322678,0.0
1991-10-03,27.6,20.7,34.3,0.0
1991-11-03,29.1,19.385130890052356,34.5,0.0
1991-12-03,27.5,20.3,35.0,0.0
1991-03-13,28.9,20.9,35.4,0.0
1991-03-14,28.2,21.7,34.6,4.414118779213638
1991-03-15,28.4,20.4,34.8,0.0
1991-03-16,27.4,19.385130890052356,33.7,0.0
1991-03-17,26.9,19.385130890052356,33.7,0.0
1991-03-18,27.1,19.5,34.0,0.0
1991-03-19,27.6,20.7,35.6,0.0
1991-03-20,26.8,21.8,29.932827341322678,4.414118779213638
1991-03-21,28.7,21.3,34.7,0.0
1991-03-22,29.4,23.0,34.4,0.0
1991-03-23,27.7,20.8,35.6,0.0
1991-03-24,26.4,21.0,35.2,0.0
1991-03-25,28.5,21.8,35.3,0.0
1991-03-26,27.1,20.6,34.7,0.0
1991-03-27,26.7,20.0,34.8,0.0
1991-03-28,25.3,19.3,33.4,0.0
1991-03-29,26.6,20.2,33.8,0.0
1991-03-30,28.7,19.4,35.0,0.0
1991-03-31,28.7,21.8,35.6,0.0
1991-01-04,26.7,21.0,35.0,0.0
1991-02-04,27.4,22.8,34.5,0.0
1991-03-04,28.4,22.3,35.2,0.0
1991-04-04,27.7,22.5,33.6,0.0
1991-05-04,26.1,21.6,32.3,4.414118779213638
1991-06-04,24.0,19.385130890052356,29.932827341322678,4.414118779213638
1991-07-04,25.9,19.5,31.5,10.7
1991-08-04,25.4,20.1,31.2,0.0
1991-09-04,22.8,19.1,30.5,6.1
1991-10-04,26.7,19.385130890052356,32.8,0.5
1991-11-04,27.3,20.1,32.5,7.9
1991-12-04,26.3,19.385130890052356,33.6,0.0
1991-04-13,25.5,19.385130890052356,32.8,0.0
1991-04-14,27.5,22.6,34.4,0.0
1991-04-15,28.5,23.0,34.4,0.0
1991-04-16,28.9,23.0,34.6,0.0
1991-04-17,27.7,23.6,34.6,0.0
1991-04-18,28.2,23.2,35.0,0.0
1991-04-19,29.5,23.2,35.7,0.0
1991-04-20,27.7,19.385130890052356,35.1,4.414118779213638
1991-04-21,25.2,20.9,33.5,7.1
1991-04-22,26.9,20.7,34.4,0.0
1991-04-23,29.2,23.2,34.3,0.3
1991-04-24,28.7,22.7,34.1,0.0
1991-04-25,26.1,21.6,33.7,4.414118779213638
1991-04-26,26.9,19.385130890052356,32.3,4.414118779213638
1991-04-27,27.7,22.4,34.2,1.3
1991-04-28,27.2,22.1,33.6,0.0
1991-04-29,26.4,19.385130890052356,29.932827341322678,0.5
1991-04-30,27.9,22.0,34.6,0.0
1991-01-05,26.6,22.1,32.6,0.0
1991-02-05,29.4,22.5,36.6,0.0
1991-03-05,27.1,19.385130890052356,36.1,4.414118779213638
1991-04-05,23.9,21.5,32.1,18.8
1991-05-05,26.7,20.9,33.2,1.3
1991-06-05,25.8,22.3,29.932827341322678,0.0
1991-07-05,28.3,22.5,34.6,12.2
1991-08-05,26.3,19.385130890052356,33.4,0.0
1991-09-05,23.9,19.385130890052356,32.9,4.3
1991-11-05,23.5,19.385130890052356,32.4,0.0
1991-12-05,23.840426251691472,19.385130890052356,29.932827341322678,4.414118779213638
1991-05-13,29.2,19.385130890052356,33.7,0.0
1991-05-14,27.2,23.2,33.3,0.0
1991-05-15,23.840426251691472,19.385130890052356,29.932827341322678,4.414118779213638
1991-05-16,28.8,19.385130890052356,33.5,0.0
1991-05-17,28.9,19.385130890052356,34.0,0.0
1991-05-18,29.6,23.4,35.2,0.0
1991-05-19,28.4,19.385130890052356,35.0,0.0
1991-05-20,26.1,23.0,33.7,4.414118779213638
1991-05-21,29.7,23.0,35.1,0.0
1991-05-22,26.9,19.385130890052356,29.932827341322678,4.414118779213638
1991-05-23,29.7,22.0,29.932827341322678,0.0
1991-05-24,26.2,19.385130890052356,35.0,4.414118779213638
1991-05-25,26.8,20.2,33.6,0.0
1991-05-26,27.7,19.385130890052356,34.8,4.414118779213638
1991-05-27,24.7,21.0,30.6,4.414118779213638
1991-05-28,25.7,20.8,32.6,4.414118779213638
1991-05-29,28.7,21.8,29.932827341322678,0.0
1991-05-30,24.9,19.385130890052356,32.1,4.414118779213638
1991-05-31,25.5,19.385130890052356,31.6,4.414118779213638
1991-01-06,25.8,19.385130890052356,31.6,17.5
1991-02-06,27.3,21.9,30.9,0.0
1991-03-06,23.4,19.385130890052356,29.1,4.414118779213638
1991-04-06,22.5,19.385130890052356,26.6,4.414118779213638
1991-05-06,21.3,21.0,29.932827341322678,4.414118779213638
1991-06-06,23.3,19.385130890052356,29.932827341322678,4.414118779213638
1991-07-06,22.6,19.385130890052356,25.6,4.414118779213638
1991-08-06,22.4,20.3,26.6,0.0
1991-09-06,22.4,19.385130890052356,25.2,4.414118779213638
1991-10-06,24.2,21.0,29.932827341322678,0.0
1991-11-06,22.9,19.385130890052356,27.4,0.0
1991-12-06,23.2,20.9,27.2,0.0
1991-06-13,25.0,21.6,29.0,0.0
1991-06-14,25.9,21.3,30.6,7.9
1991-06-15,24.3,21.7,31.2,0.5
1991-06-16,24.4,19.385130890052356,28.9,7.9
1991-06-17,23.4,21.0,26.6,0.5
1991-06-18,25.1,20.5,29.932827341322678,0.0
1991-06-19,22.4,20.1,29.932827341322678,0.0
1991-06-20,24.7,19.385130890052356,29.6,0.0
1991-06-21,22.9,20.2,30.6,4.414118779213638
1991-06-22,24.7,20.1,29.6,10.9
1991-06-23,24.8,21.2,29.932827341322678,0.0
1991-06-24,22.9,19.385130890052356,28.6,4.414118779213638
1991-06-25,21.4,19.385130890052356,27.3,4.414118779213638
1991-06-26,21.3,19.8,29.932827341322678,4.414118779213638
1991-06-27,22.5,19.5,26.6,3.3
1991-06-28,22.2,19.7,26.9,0.5
1991-06-29,24.2,20.3,27.9,0.0
1991-06-30,23.1,19.385130890052356,29.0,4.414118779213638
1991-01-07,22.4,19.4,26.4,0.0
1991-02-07,24.2,19.3,29.0,0.0
1991-03-07,23.1,20.0,28.6,4.414118779213638
1991-04-07,22.8,20.2,26.3,0.0
